date,time_opened_seconds
2020-04-20 09:22:28.870,15.63
2020-04-20 09:22:42.496,4.01
2020-04-20 09:35:13.328,18.64
2020-04-20 11:36:12.950,13.12
2020-04-20 11:36:46.412,7.71
2020-04-20 11:39:02.256,8.22
2020-04-20 12:17:20.930,12.12
2020-04-20 12:18:01.405,15.03
2020-04-20 12:25:23.816,29.96
2020-04-20 12:38:01.483,13.22
2020-04-20 12:40:03.896,9.02
2020-04-20 12:42:29.252,2.91
2020-04-20 12:43:08.324,9.42
2020-04-20 12:44:01.720,6.61
2020-04-20 13:18:06.481,5.61
2020-04-20 13:18:55.071,11.22
2020-04-20 14:05:36.792,21.04
2020-04-20 16:45:44.393,26.45
2020-04-20 16:56:42.232,9.12
2020-04-20 16:59:36.648,2.50
2020-04-20 17:03:28.287,6.21
2020-04-20 17:42:39.954,14.63
2020-04-20 17:47:20.358,11.12
2020-04-20 18:07:15.455,27.55
2020-04-20 18:11:50.457,4.41
2020-04-20 18:14:54.798,34.17
2020-04-20 18:19:54.842,6.12
2020-04-20 18:21:55.255,19.24
2020-04-20 20:32:28.362,19.04
2020-04-20 21:05:53.905,5.31
2020-04-20 21:06:10.937,7.21
2020-04-20 21:08:45.817,22.14
2020-04-20 21:22:09.963,2.71
2020-04-20 21:26:18.312,5.11
2020-04-20 21:28:11.920,6.51
2020-04-20 21:30:09.632,11.42
2020-04-20 21:39:08.007,9.82
2020-04-20 22:06:22.039,12.92
2020-04-20 22:09:10.451,6.71
2020-04-20 22:11:32.214,13.02
2020-04-20 22:13:15.007,11.22
2020-04-20 22:14:26.139,14.13
2020-04-20 23:31:33.925,7.91
2020-04-20 23:31:55.365,7.31
